Location,Life expectancy (years),"General medical treatment, 30-59-year-olds (per inhabitant)","Reported household burglaries (per 1,000 inhabitants)","Reported crimes of violence (per 1,000 inhabitants)","Victims of reported criminal offences (per 1,000 inhabitants)","Education qualifying for the labour market, 30-59-year-olds (per cent)","Employment rate, 30-59-year-olds (per cent)","Long-term unemployment, 30-59-year-olds (per 1,000 in the labour force)",Personal disposable income (median DKK/year),Low income in 3 consecutive years. (Excluding students pr. 1.000 inhabitants),"Divorces (per 1,000 married)",Dissolved families with children (per 100 families with children),Square meters dwelling area (per person),Electoral participation at the last general election (per cent),Electoral participation at the last municipal election (per cent),TOTAL HOUSEHOLD WASTE
Skanderborg,81.0,6.5,10.3,1.6,7.7,78.9,87.2,13.8,225378.8,7.3,14.1,2.9,53.3,90.7,78.4,39370
Syddjurs,80.3,6.3,8.8,2.6,5.3,73.8,81.5,21.7,198328.6,10.2,16.4,3.3,58.4,87.9,74.8,31519
Aarhus,80.1,7.0,10.0,4.8,17.4,74.6,77.0,30.0,185975.9,21.9,16.8,3.1,45.7,89.0,70.5,135460
Herning,80.5,6.7,6.8,3.2,8.8,70.0,81.5,24.1,194885.0,15.2,13.5,2.8,55.7,88.8,75.3,47428
Holstebro,79.9,6.5,4.5,4.1,8.8,72.5,83.2,19.0,196104.5,13.9,12.4,3.0,55.8,88.7,78.5,14103
Ikast-Brande,80.0,6.4,8.6,2.9,7.2,66.2,81.0,22.1,192689.7,12.4,15.6,3.3,56.7,87.9,75.3,26714
Lemvig,79.7,6.5,3.1,2.7,3.4,69.9,82.7,19.8,187334.7,10.4,12.0,2.6,62.8,87.7,77.5,4322
Ringkøbing-Skjern,80.4,6.2,8.4,1.8,4.3,70.4,81.9,20.6,191877.0,12.1,11.7,2.7,59.0,88.5,76.0,57800
Skive,79.9,6.8,4.2,3.3,7.5,69.7,81.9,17.1,186036.0,12.0,14.9,3.4,59.1,87.4,75.3,33430
Struer,79.1,7.3,3.8,3.4,5.5,68.2,80.6,25.7,186788.0,14.9,15.2,3.5,59.1,89.0,78.7,6330
Viborg,80.5,6.8,8.2,2.2,5.4,73.2,82.4,21.5,199688.0,13.7,14.5,2.9,56.8,87.9,74.3,58591
Brønderslev,79.2,6.0,7.6,3.0,6.4,72.5,80.9,23.5,186041.5,14.8,14.4,3.4,60.5,87.8,75.7,22733
Frederikshavn,79.0,6.6,5.1,2.4,5.9,69.6,79.0,26.7,185768.9,13.1,15.0,3.5,58.4,85.6,72.3,43759
Hjørring,79.9,6.2,6.2,3.4,7.3,70.5,79.8,26.6,185830.6,16.1,16.7,3.6,59.5,86.4,74.0,50234
Jammerbugt,79.6,6.1,7.1,2.9,5.3,69.0,81.3,22.7,187161.8,14.2,15.8,2.6,61.2,87.0,76.9,30326
Læsø,,6.3,4.4,5.7,2.5,62.8,77.5,17.3,170192.1,17.3,19.2,4.2,71.0,86.0,83.7,2083
Mariagerfjord,79.5,6.9,9.4,2.7,6.0,69.9,80.7,19.1,186177.1,14.0,15.1,3.1,59.1,85.6,72.8,29454
Morsø,78.1,7.5,7.0,3.2,5.9,64.4,78.0,27.5,175307.0,17.2,17.5,2.7,62.2,87.1,80.0,16460
Rebild,80.0,6.2,8.0,1.6,3.1,74.9,85.9,14.7,204785.4,10.2,14.2,2.9,60.6,88.8,80.8,23095
Thisted,79.0,6.2,4.5,3.7,6.1,67.1,79.6,17.7,183107.0,15.7,17.2,3.1,61.4,87.1,75.0,20685
Vesthimmerlands,79.7,6.6,9.1,3.3,5.3,66.2,79.9,23.3,181521.0,15.2,18.0,3.3,61.0,85.1,73.8,23948
Aalborg,79.6,6.6,7.6,3.8,15.2,73.9,79.1,28.0,183251.0,17.6,15.9,3.2,52.1,86.7,68.4,63883
